Num,Ch,Res
81,0,0.230839018126
81,2,0.0882174795139
81,1,0.180108640069
82,0,0.309077059643
82,2,1.5670807035
82,1,0.370922863474
83,0,0.307869488227
83,2,0.107924179186
83,1,0.0
84,0,0.151251872759
84,2,0.0
84,1,0.0
85,0,0.27260414552
85,2,0.100406019553
85,1,0.333227586219
87,0,0.458025993385
87,2,1.29471246616
87,1,0.854213167314
88,0,0.215075754203
88,2,0.0
88,1,0.0751836308909
89,0,0.137677912362
89,2,0.117851753679
89,1,0.221574920319
90,0,0.230520089477
90,2,0.18920115233
90,1,0.085635709612
92,0,0.0
92,2,0.0
92,1,0.0631458803943
94,0,0.215783521262
94,2,0.303819813915
94,1,0.0
95,0,0.0
95,2,0.0
95,1,0.0
96,0,0.0
96,2,0.0
96,1,0.125113661643
99,0,0.0
99,2,0.336011900032
99,1,0.119994320191
1,0,1.10342751151
1,2,0.134663940074
1,1,0.188027216753
