Frequency,N8671,N8768,N8774,N8775,N8808,N8826,N8931,N8937,N8979,N8983,N9025,N9027,N9032,N9089,N9132,N9135
164.888473511,0.00481441849843,0.186343327165,0.10482969135,0.150336682796,0.222815707326,0.197386562824,0.128755107522,0.164083778858,0.0289003625512,0.0160696581006,0.0789236798882,0.0941986367106,0.210012808442,0.0805361568928,0.0677017495036,0.214893996716
165.093856812,0.00493664853275,0.190907537937,0.107437454164,0.154056280851,0.228064388037,0.201599791646,0.130646318197,0.1671898067,0.029620623216,0.0164690557867,0.079063385725,0.0948580130935,0.215065464377,0.0809423625469,0.069398753345,0.219757169485
165.295425415,0.00506271375343,0.195616021752,0.110127329826,0.157893165946,0.233480408788,0.205950722098,0.132605463266,0.170400798321,0.0303635019809,0.0168809834868,0.0792152807117,0.0955447629094,0.220278352499,0.0813822001219,0.0711491107941,0.224776789546
165.493392944,0.0051928460598,0.200477480888,0.112904265523,0.161854416132,0.239073768258,0.210447520018,0.134636580944,0.173722937703,0.0311303641647,0.01730620116,0.0793803036213,0.0962606146932,0.225661113858,0.0818580761552,0.0729560256004,0.229962229729
165.687896729,0.00532729178667,0.205501124263,0.115773551166,0.165947541595,0.244855135679,0.215098872781,0.136743947864,0.177162796259,0.0319226719439,0.0177455116063,0.0795595124364,0.0970074385405,0.231224000454,0.0823726281524,0.0748229548335,0.235323429108
165.879104614,0.005466314964,0.210696861148,0.118740797043,0.170180603862,0.250835955143,0.219914093614,0.138932153583,0.180727422237,0.0327419675887,0.0181997809559,0.0797540396452,0.0977872163057,0.236977949739,0.0829286873341,0.0767535418272,0.24087099731
166.067169189,0.00561019685119,0.216075241566,0.121812045574,0.174562186003,0.257028400898,0.224903106689,0.141206115484,0.184424370527,0.0335899218917,0.0186699274927,0.0799651518464,0.0986021235585,0.242934703827,0.08352933079,0.0787517204881,0.246616318822
166.252197266,0.00575924105942,0.2216476053,0.124993763864,0.179101526737,0.263445585966,0.230076655746,0.143571138382,0.188261717558,0.0344683155417,0.0191569402814,0.0801942199469,0.0994544774294,0.249106809497,0.0841778889298,0.0808216780424,0.252571612597
166.434326172,0.00591377168894,0.227426126599,0.128292888403,0.183808535337,0.270101547241,0.235446155071,0.146032884717,0.192248180509,0.035379063338,0.019661879167,0.080442763865,0.100346796215,0.255507797003,0.0848779901862,0.0829679369926,0.258749961853
166.613693237,0.00607413891703,0.233423933387,0.131716892123,0.188693895936,0.277011483908,0.241024032235,0.148597493768,0.196393147111,0.0363242290914,0.0201858934015,0.0807124450803,0.101281784475,0.262152194977,0.0856335684657,0.0851953700185,0.265165507793
166.790374756,0.00624071992934,0.239655151963,0.135273858905,0.193769082427,0.284191757441,0.246823638678,0.15127158165,0.200706765056,0.0373060368001,0.0207302086055,0.0810051038861,0.102262422442,0.269055694342,0.0864488705993,0.0875092074275,0.271833479404
166.964492798,0.00641392217949,0.246135041118,0.138972461224,0.199046552181,0.291659921408,0.252859354019,0.154062286019,0.205199927092,0.0383268892765,0.021296158433,0.0813227668405,0.103291884065,0.276235222816,0.0873285457492,0.0899150967598,0.27877035737
167.136154175,0.0065941857174,0.25288015604,0.142822146416,0.204539746046,0.299435168505,0.259146809578,0.156977385283,0.209884509444,0.0393893755972,0.0218851845711,0.0816676616669,0.104373663664,0.283709108829,0.0882776379585,0.0924191921949,0.285993903875
167.305419922,0.00678198877722,0.259908437729,0.146833136678,0.210263267159,0.307538211346,0.265702933073,0.160025238991,0.214773356915,0.040496326983,0.0224988460541,0.0820422545075,0.105511546135,0.291497260332,0.0893016457558,0.0950281247497,0.293523490429
167.472396851,0.0069778515026,0.267239302397,0.151016518474,0.216232955456,0.315991550684,0.272546172142,0.163215041161,0.219880476594,0.0416507981718,0.0231388434768,0.0824492871761,0.10670966655,0.29962131381,0.0904065519571,0.0977491140366,0.301380097866
167.637145996,0.007182339672,0.274894028902,0.155384391546,0.22246606648,0.324819743633,0.279696553946,0.166556715965,0.225221022964,0.0428561270237,0.0238070208579,0.0828917697072,0.107972547412,0.308104723692,0.0915988981724,0.100590020418,0.30958661437
167.79977417,0.00739606795833,0.282895714045,0.159949943423,0.228981405497,0.334049493074,0.287175863981,0.170061126351,0.230811625719,0.0441159456968,0.0245053973049,0.0833730623126,0.109305135906,0.316973179579,0.092885799706,0.103559412062,0.318167954683
167.960327148,0.00761971157044,0.291269600391,0.164727553725,0.235799580812,0.343710005283,0.295008093119,0.173740163445,0.236670434475,0.0454342216253,0.0252361688763,0.0838969051838,0.110712856054,0.326254725456,0.0942750871181,0.106666661799,0.327151358128
168.118896484,0.00785400811583,0.300043404102,0.169733017683,0.242943063378,0.353833317757,0.303219348192,0.177606806159,0.242817297578,0.0468153133988,0.0260017495602,0.084467433393,0.112201660872,0.335980057716,0.0957752913237,0.109922006726,0.336566656828
168.275527954,0.00809976644814,0.309247463942,0.174983635545,0.250436574221,0.36445453763,0.311838358641,0.181675359607,0.249273985624,0.0482639893889,0.0268047843128,0.0850892588496,0.113778106868,0.346182823181,0.0973957926035,0.113336704671,0.346446663141
168.430282593,0.00835787691176,0.31891515851,0.180498450994,0.258307307959,0.375612288713,0.320896685123,0.185961514711,0.25606456399,0.0497854948044,0.0276481788605,0.085767544806,0.115449421108,0.35690009594,0.0991468802094,0.116923138499,0.356827348471
168.583221436,0.00862931925803,0.329083323479,0.186298400164,0.26658514142,0.387349039316,0.330429136753,0.190482571721,0.263215392828,0.051385615021,0.0285351406783,0.0865080356598,0.117223598063,0.368172734976,0.101039879024,0.120694935322,0.367748349905
168.734405518,0.00891517847776,0.339792519808,0.192406669259,0.275303184986,0.399711847305,0.340474158525,0.195257648826,0.270755648613,0.0530707351863,0.0294692050666,0.0873171761632,0.119109489024,0.380045711994,0.10308727622,0.124667137861,0.379253596067
